Detail of Gifts,Item Category,Name of Recipient,Affiliation,Date,Assessed Value,Retention Cost,Retained,Remarks
1672,17,1606,6,83,97450.0,0.0,65,221
2923,17,1606,6,83,35200.0,0.0,65,221
1658,17,1517,6,83,85000.0,5625.0,65,221
1669,17,1517,6,83,18000.0,1200.0,65,221
1658,17,1590,6,83,80000.0,5625.0,65,221
1669,17,1590,6,83,18500.0,1275.0,65,221
1658,17,1618,6,83,80000.0,5625.0,65,221
1669,17,1618,6,83,18000.0,1200.0,65,221
1658,17,1208,6,83,85000.0,5625.0,65,221
1669,17,1207,6,83,18500.0,1275.0,65,221
1658,17,1963,6,83,85000.0,5625.0,65,221
1669,17,1964,6,83,18500.0,1275.0,65,221
1658,17,1563,6,83,0.0,5625.0,65,221
1669,17,1563,6,83,0.0,1350.0,65,221
3142,17,848,2,454,97450.0,5625.0,65,221
2527,17,848,2,454,32800.0,3420.0,65,221
2594,17,848,2,454,55000.0,5625.0,65,221
404,7,848,2,454,4000.0,0.0,65,221
2283,17,848,2,454,25000.0,2250.0,65,221
2643,17,1945,2,454,97450.0,5625.0,65,221
3204,17,1944,2,454,27500.0,2625.0,65,221
1657,17,1944,2,454,45000.0,5250.0,65,221
2643,17,254,7,454,97450.0,5625.0,65,221
3226,17,254,7,454,41500.0,4725.0,65,221
1657,17,254,7,454,0.0,5250.0,65,221
1440,6,460,7,556,3000.0,0.0,65,221
1695,17,1334,0,556,62000.0,5625.0,65,221
2643,17,1891,2,556,0.0,5625.0,65,221
2880,17,1891,2,556,97450.0,5625.0,65,221
1660,17,1891,2,556,55000.0,5625.0,65,221
2526,17,1891,2,556,32800.0,3420.0,65,221
1563,17,1419,2,562,1000.0,0.0,7,130
1512,11,1419,2,562,27000.0,2550.0,65,221
2336,17,250,7,566,3000.0,0.0,65,221
2643,17,121,7,566,97450.0,5625.0,65,221
2986,17,121,7,566,65000.0,5625.0,65,221
1657,17,121,7,566,45000.0,5250.0,65,221
2643,17,1926,7,566,97450.0,5625.0,65,221
2986,17,1926,7,566,38385.0,4258.0,65,221
1657,17,1926,7,566,45000.0,5250.0,65,221
2643,17,582,7,566,97450.0,5625.0,65,221
2986,17,582,7,566,25520.0,2328.0,65,221
1657,17,582,7,566,45000.0,5250.0,65,221
2599,17,1441,0,573,25000.0,2250.0,65,221
1458,17,1441,0,573,38225.0,4234.0,65,221
1657,17,1441,0,573,45000.0,5250.0,65,221
2643,17,368,2,471,97450.0,5625.0,65,221
2986,17,368,2,471,65717.0,5625.0,65,221
1657,17,368,2,471,45000.0,5250.0,65,221
2643,17,726,0,478,97450.0,5625.0,65,221
2986,17,726,0,478,60216.0,5625.0,65,221
1657,17,726,0,478,45000.0,5250.0,65,221
2643,17,1987,0,478,97450.0,5625.0,65,221
2986,17,1987,0,478,63602.0,5625.0,65,221
1657,17,1987,0,478,45000.0,5250.0,65,221
2643,17,114,7,478,97450.0,5625.0,65,221
2986,17,114,7,478,65404.0,5625.0,65,221
1703,17,114,7,478,45000.0,5250.0,65,221
2643,17,1753,2,478,97450.0,5625.0,65,221
2986,17,1753,2,478,40800.0,4620.0,65,221
1657,17,1753,2,478,45000.0,5250.0,65,221
2643,17,1323,2,478,97450.0,5625.0,65,221
2986,17,1323,2,478,36856.0,4029.0,65,221
1657,17,1323,2,478,45000.0,5250.0,65,221
2643,17,1473,2,478,97450.0,0.0,65,221
2986,17,1473,2,478,25228.0,0.0,65,221
1657,17,1473,2,478,45000.0,0.0,65,221
2595,17,486,2,478,50000.0,0.0,65,221
1857,17,486,2,478,16797.0,0.0,65,221
